latitude,longitude,weight,type
41.79392,-87.7251,903,trauma
41.79892,-87.7251,932,trauma
41.80392,-87.7251,763,trauma
41.80892,-87.7251,707,trauma
41.81392,-87.7251,624,trauma
41.81892,-87.7251,595,trauma
41.82392,-87.7251,511,trauma
41.82892,-87.7251,634,trauma
41.83392,-87.7251,568,trauma
41.83892,-87.7251,472,trauma
41.84392,-87.7251,401,trauma
41.84892,-87.7251,337,trauma
41.85392,-87.7251,342,trauma
41.85892,-87.7251,330,trauma
41.86392,-87.7251,356,trauma
41.86892,-87.7251,328,trauma
41.87392,-87.7251,237,trauma
41.87892,-87.7251,395,trauma
41.88392,-87.7251,459,trauma
41.88892,-87.7251,540,trauma
41.89392,-87.7251,574,trauma
41.89892,-87.7251,635,trauma
41.90392,-87.7251,682,trauma
41.90892,-87.7251,771,trauma
41.91392,-87.7251,884,trauma
41.91892,-87.7251,919,trauma
41.92392,-87.7251,885,trauma
41.92892,-87.7251,894,trauma
41.93392,-87.7251,939,trauma
41.93892,-87.7251,814,trauma
41.94392,-87.7251,927,trauma
41.94892,-87.7251,905,trauma
41.95392,-87.7251,918,trauma
41.95892,-87.7251,953,trauma
41.96392,-87.7251,1022,trauma
41.96892,-87.7251,1102,trauma
41.97392,-87.7251,1195,trauma
41.97892,-87.7251,1325,trauma
41.98392,-87.7251,1380,trauma
41.98892,-87.7251,1212,trauma
41.99392,-87.7251,1329,trauma
41.68892,-87.7201,1761,trauma
41.69392,-87.7201,1764,trauma
41.69892,-87.7201,1748,trauma
41.70392,-87.7201,1740,trauma
41.70892,-87.7201,1710,trauma
41.73892,-87.7201,1518,trauma
41.74392,-87.7201,1372,trauma
41.74892,-87.7201,1381,trauma
41.75392,-87.7201,1274,trauma
41.75892,-87.7201,1277,trauma
41.76392,-87.7201,1190,trauma
41.76892,-87.7201,1135,trauma
41.77392,-87.7201,1070,trauma
41.77892,-87.7201,1015,trauma
41.78392,-87.7201,962,trauma
41.78892,-87.7201,937,trauma
41.79392,-87.7201,897,trauma
41.79892,-87.7201,880,trauma
41.80392,-87.7201,789,trauma
41.80892,-87.7201,730,trauma
41.81392,-87.7201,659,trauma
41.81892,-87.7201,600,trauma
41.82392,-87.7201,470,trauma
