Name,Address,Date,Time,Neighborhood,Age,Gender,Race,Latitude,Longitude
91,"5900 S. Halsted St., Chicago, IL",3/25/2012,12:33 a.m.,Englewood,19,Male,Black,41.786829,-87.6453219
92,"1400 W. 73rd St., Chicago, IL",3/26/2012,2:38 p.m.,West Englewood,16,Male,Black,41.761593,-87.659029
93,"1400 E. 75th St., Chicago, IL",3/27/2012,7:51 p.m.,South Shore,26,Female,Black,41.758965,-87.590635
94,"6300 S. Evans Ave., Chicago, IL",3/27/2012,10:58 p.m.,Woodlawn,34,Male,Black,41.7803591,-87.6072079
95,"6300 S. Evans Ave., Chicago, IL",3/27/2012,10:58 p.m.,Woodlawn,29,Male,Black,41.7803591,-87.6072079
96,"6300 S. Evans Ave., Chicago, IL",3/27/2012,10:58 p.m.,Woodlawn,33,Male,Black,41.7803591,-87.6072079
97,"1400 W. 79th St., Chicago, IL",3/29/2012,6 p.m.,Auburn Gresham,22,Male,Black,41.750716,-87.65889
98,"1 W. 113th Pl., Chicago, IL",3/29/2012,4:48 p.m.,Roseland,31,Male,Black,41.6880243,-87.6229893
99,"2600 S. Tripp Ave., Chicago, IL",4/1/2012,4 a.m.,South Lawndale,41,Male,White,41.8441475,-87.7306582
100,"6100 S. Washtenaw Ave., Chicago, IL",4/2/2012,7:58 p.m.,Chicago Lawn,49,Male,Black,41.782672,-87.691398
101,"6400 S. Francisco Ave., Chicago, IL",4/5/2012,8:01 p.m.,Chicago Lawn,26,Male,Black,41.777085,-87.696121
102,"6800 N. Ashland Ave., Chicago, IL",4/5/2012,2:07 p.m.,Rogers Park,22,Male,Black,42.0053874,-87.6699751
103,"800 E. 81st St., Chicago, IL",4/6/2012,12:26 p.m.,Chatham,18,Male,Black,41.7476402,-87.605048
104,"4000 S. Albany Ave., Chicago, IL",4/6/2012,11:55 p.m.,Brighton Park,28,Female,White,41.820704,-87.702299
105,"700 S. Francisco Ave., Chicago, IL",4/7/2012,1:35 p.m.,East Garfield Park,23,Male,Black,41.8728396,-87.6985446
